"","yieldRapeseed","pollination"
"1272550",1.3400000333786,93.7398256131388
"1276868",1.3400000333786,85.9972001483266
"1276869",1.3400000333786,91.3765899829903
"1298467",1.3400000333786,82.5351506499921
"1298468",1.3400000333786,80.4668711016175
"1298474",1.3400000333786,86.5987309859086
"1298475",1.3400000333786,84.2015855202156
"1298486",1.3400000333786,84.8554921705279
"1298487",1.3400000333786,83.7519557168342
"1298488",1.3400000333786,86.2897368008636
"1302786",1.3400000333786,86.4192840247569
"1302787",1.3400000333786,82.507978598784
"1302788",1.3400000333786,82.4234395901234
"1302789",1.3400000333786,85.6241480561825
"1302790",1.3400000333786,89.0076261653948
"1302791",1.3400000333786,86.7488012182335
"1302792",1.3400000333786,88.7862966273845
"1302795",1.3400000333786,83.6161988096587
"1302803",1.3400000333786,85.4935354983282
"1307104",1.3400000333786,86.7583625402178
"1307105",1.3400000333786,84.3269213429519
"1307106",1.3400000333786,84.3321017884723
"1307107",1.3400000333786,83.2490149473802
"1307108",1.3400000333786,82.0208528203253
"1307109",1.3400000333786,83.6200297694816
"1307110",1.3400000333786,85.4721876747358
"1307111",1.3400000333786,85.0631721778317
"1307112",1.3400000333786,85.0094735546414
"1307113",1.3400000333786,85.7039684384698
"1307114",1.3400000333786,85.2308409547417
"1307117",1.3400000333786,82.5905799990249
"1307118",1.3400000333786,87.9853090345003
"1307120",1.3400000333786,89.1206306762168
"1307138",1.3400000333786,93.0951588422907
"1311424",1.3400000333786,86.0418142964968
"1311425",1.3400000333786,86.8397729736739
"1311426",1.3400000333786,88.9367076013787
"1311427",1.3400000333786,86.6647025038026
"1311428",1.3400000333786,84.019839667993
"1311429",1.3400000333786,81.2260331536234
"1311430",1.3400000333786,87.7930982387781
"1311432",1.3400000333786,78.3917063690573
"1311433",1.3400000333786,79.1932942123372
"1311434",1.3400000333786,83.1089782814136
"1311436",1.3400000333786,84.3720339177695
"1311442",1.3400000333786,74.7265817398908
"1311454",1.3400000333786,92.737159989826
"1311455",1.3400000333786,91.135123903696
"1315743",1.3400000333786,88.1217231910861
"1315744",1.3400000333786,87.3851367008199
"1315745",1.3400000333786,89.5575844685689
"1315746",1.3400000333786,86.8667097153086
"1315747",1.3400000333786,86.8684320976616
"1315748",1.3400000333786,83.0539665237626
"1315749",1.3400000333786,86.299489935657
"1315750",1.3400000333786,89.3183811150049
"1315752",1.3400000333786,89.2646978151519
"1315753",1.3400000333786,88.3849158798876
"1315754",1.3400000333786,90.3485343508535
"1315755",1.3400000333786,86.0688119971026
"1315756",1.3400000333786,84.9592788676732
"1315757",1.3400000333786,79.3833085701314
"1315758",1.3400000333786,80.7499308705735
